FAMILY,GENUS,SPECIES,common_name,Uniquie_identifier,Rainfall,Standard_tube,Direct_seed,Bare_field,Existing_overstorey,Nectar,Pollen,Sand,Loam,Clay,Calcareous,SL,SE ,SYP, NYP,EP,Summer,Autumn,Winter ,Spring,Under 2m,Mid 2-5m,Over over 5m,Hedge,Shelter,Drought_toleraant,Salt_tolerrant,Erosion_control,ResourcePN_quality,Fire_resistance,Fire_promotion
Compositae,Helichrysum,scorpioides,button everlasting,PSsp15,400,0,0,0,1,2,2,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0
Compositae,Microseris,lanceolata,native yam,PSsp16,200,1,0,0,1,1,2,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,3,0,0
Compositae,Olearia,pannosa,twiggy daisy bush,PSsp17,450,1,0,0,1,0,2,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0
Compositae,Vittadinia,gracilis,wooly new england daisy,PSsp18,250,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,2,0,0
Convolvulaceae,Convolvulus,remotus,grassy bindweed,PSsp19,450,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,2,0,0
Dilleniaceae,Hibbertia,sericea,silky guinea flower,PSsp20,400,0,0,0,1,0,2,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0
Dilleniaceae,Hibbertia,exutiacies,spiky guinea flower,PSsp21,500,0,0,0,1,0,2,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0
Dilleniaceae,Hibbertia,riparia,erect guinea flower,PSsp22,400,0,0,0,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0
Dilleniaceae,Hibbertia,crinita,long hair guinea flower,PSsp23,450,0,0,0,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0
Dilleniaceae,Hibbertia,virgata,twiggy guinea flower,PSsp24,300,0,0,0,1,0,2,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0
Epacridaceae,Leucopogon,virgatus,coast beard heath,PSsp25,500,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0
Fabaceae,Acacia,spinescens,spiny wattle,PSsp26,350,1,1,1,1,0,2,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,2,0,0
Fabaceae,Acacia,paradoxa,kangaroo thorn,PSsp27,400,1,1,1,1,0,2,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,2,0,0
Fabaceae,Acacia,melanoxylon,blackwood,PSsp28,500,1,1,1,1,0,2,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,2,1,0
Fabaceae,Acacia,pycnantha,golden wattle,PSsp29,350,1,1,1,1,0,2,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,2,0,0
Fabaceae,Hardenbergia, violacea,purple coral pea,PSsp30,450,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,2,1,0
Fabaceae,Indigofera ,australis,austral indago,PSsp31,500,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0
Geraniaceae,Pelargonium,australe,austral storks bill,PSsp32,400,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,2,0,0
Goodeniaceae,Dampiera,rosmarinifolia,native rosemary,PSsp33,400,0,0,0,1,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,4,0,0
Goodeniaceae,Goodenia,amplexans,clasping goodenia,PSsp34,400,0,0,0,1,2,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,3,0,0
Goodeniaceae,Goodenia,varia,cut leaf goodenia,PSsp35,350,0,0,0,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,3,0,0
Goodeniaceae,Scaevola,albida,small fruited fan flower,PSsp36,450,1,0,0,1,1,2,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,3,1,0
Haloragaceae,Glischrocaryon,behrii,golden pennants,PSsp37,250,1,0,0,1,0,2,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0
Lamiaceae,Ajuga ,australis,australian bugle,PSsp38,400,0,0,0,1,2,2,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,4,1,0
Lamiaceae,Prostanthera,behriana,downy mintbush,PSsp39,350,0,0,1,1,2,2,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,4,0,0
Lamiaceae,Teucrium,racemosum,grey germander,PSsp40,200,1,0,0,0,2,2,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,4,0,0
Leguminosae,Cullen,australasicum,native scurf pea,PSsp41,400,1,0,0,1,2,2,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0
Leguminosae,Daviesia,brevifolia,leafless bitter pea,PSsp42,400,0,0,0,1,2,2,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,4,0,0
Leguminosae,Daviesia,ulicifolia,mt lofty gorse bitterpea,PSsp43,450,1,0,0,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,4,0,0
Leguminosae,Daviesia,leptophylla,narrow leaf bitter pea,PSsp44,500,1,0,0,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0
Leguminosae,Dillwynia,sericea,showy parrot pea,PSsp45,450,1,0,0,1,2,2,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,4,0,0
Leguminosae,Dillwynia,hispida,downy parrot pea,PSsp46,400,1,0,0,1,2,2,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0
Leguminosae,Eutaxia,microphylla,common bush pea,PSsp47,400,1,0,0,1,2,2,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0
Leguminosae,Gompholobium,ecostatum,dwarf wedge pea,PSsp48,400,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0
Leguminosae,Kennedia,prostrata,running postman,PSsp49,450,1,0,0,1,2,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,3,1,0
Leguminosae,Lotus,australis,australian trefoil,PSsp50,350,1,0,0,1,2,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,4,0,0
Leguminosae,Platylobium,obtusangulum,common flat pea,PSsp51,550,1,0,0,1,2,2,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,4,0,0
Leguminosae,Pultenaea,pedunculata,matted bush pea,PSsp52,500,0,0,0,1,2,2,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0
Leguminosae,Pultenaea,acerosa,bristly bush pea,PSsp53,400,1,1,0,1,2,2,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,4,0,0
Leguminosae,Pultenaea,laxiflora,loose flower bush pea,PSsp54,500,1,1,0,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0
Leguminosae,Pultenaea,daphnoides,large leafed bush pea,PSsp55,500,1,1,0,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0
Leguminosae,Pultenaea,largiflorens,twiggy bush pea,PSsp56,500,1,1,0,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0
Leguminosae,Pultenaea,tenuifolia,slender bush pae,PSsp57,500,0,0,0,1,0,2,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0
Leguminosae,Senna,artemisioides,deset cassia,PSsp58,250,1,0,1,1,0,2,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,2,1,2,0,0
Leguminosae,Templetonia,retusa,cockies tongue,PSsp59,300,1,1,1,1,2,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,3,0,0
Lilliaceae,Arthropodium,strictum,chocolate lily,PSsp60,400,1,0,0,1,0,2,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0
Lilliaceae,Chamaescilla,corymbosa,blue stars,PSsp61,350,1,0,0,1,2,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,0,0
Lilliaceae,Dianella,revoluta,black anther flax lily,PSsp62,400,1,0,0,1,0,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,2,1,0
Lilliaceae,Dianella ,brevicaulis,smooth flax lily,PSsp63,400,1,0,0,1,0,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,2,0,0
Lilliaceae,Thysanotus,patersonii,twinging fringe lily,PSsp64,250,1,0,0,1,2,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,3,0,0
Lilliaceae,Xanthorrhoea,quadrangulata,mt lofty grass tree,PSsp65,450,0,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,3,0,0
Lilliaceae,Xanthorrhoea,semiplana,flat leaf grass tree,PSsp66,450,0,0,0,1,2,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,3,0,0
Linaceae,Linum,marginale,native flax,PSsp67,500,1,0,0,1,0,2,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,2,0,0
Malvaceae,Lasiopetalum,baueri,slender velvet bush,PSsp68,250,0,0,0,1,0,2,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0
Malvaceae,Malva,behriana (weinmanniana),austral malva,PSsp69,350,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0
Myoporaceae,Eremophila,opositifolia,twin leaf emu bush,PSsp70,300,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,2,0,0
Myoporaceae,Eremophila,glabra,tar bush,PSsp71,350,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,2,0,0
Myoporaceae,Myoporum,parvifolium,dwarf native myrtle,PSsp72,350,0,0,0,1,2,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,3,1,0
Myoporaceae,Myoporum,montanum,water bush,PSsp73,400,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,2,1,0
Myoporaceae,Myoporum,petiolatum,sticky boobialla,PSsp74,350,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,2,1,0
Myoporaceae,Myoporum,insulare,native juniper,PSsp75,350,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,2,1,0
Myrtaceae,Baeckea,behrii,silver broombush,PSsp76,350,0,0,1,1,2,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,3,0,0
Myrtaceae,Baeckea,crassifolia,desert heath myrtle,PSsp77,450,0,0,0,1,2,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,3,0,0
Myrtaceae,Callistemon,sieberi,river bottlebrush,PSsp78,500,1,1,1,1,2,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,4,0,0
Myrtaceae,Callistemon,teretifolius,flinders ranges bottlebrush ,PSsp79,400,1,1,1,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,4,0,0
Myrtaceae,Callistemon,rugulosus,scarlet bottlebrush,PSsp80,400,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,4,0,0
Myrtaceae,Calytrix,tetragona,fringe myrtle,PSsp81,400,0,0,0,1,2,2,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0
Myrtaceae,Eucalyptus,socialis ssp socialis,red mallee,PSsp82,250,1,1,1,0,2,2,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,4,0,1
Myrtaceae,Eucalyptus,porosa,black mallee box,PSsp83,300,1,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,4,0,1
Myrtaceae,Eucalyptus,gracilis,white mallee,PSsp84,200,1,1,1,0,2,2,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,4,0,1
Myrtaceae,Eucalyptus,camaldulensis,river red gum,PSsp85,300,1,1,1,0,2,2,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,2,1,4,0,1
Myrtaceae,Eucalyptus,cladocalyx,sugar gum,PSsp86,450,1,1,1,0,2,2,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,4,0,1
Myrtaceae,Eucalyptus,microcarpa,grey box,PSsp87,500,1,1,1,0,1,2,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,3,0,1
Myrtaceae,Eucalyptus,obliqua,messmate stringbark,PSsp88,800,1,1,1,0,1,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,3,0,1
Myrtaceae,Eucalyptus,cosmophylla,cup gum,PSsp89,650,1,1,1,0,2,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,3,0,1
Myrtaceae,Eucalyptus,oleosa ssp. ampliata ,acorn mallee,PSsp90,300,1,1,1,0,2,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,3,0,1
Myrtaceae,Eucalyptus,incrassata,yellow mallee,PSsp91,350,1,1,1,0,2,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,3,0,1
Myrtaceae,Eucalyptus,diversifolia,coastal white mallee,PSsp92,350,1,1,1,0,2,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,3,0,1
Myrtaceae,Eucalyptus,leucoxylon,south australian blue gum,PSsp93,500,1,1,1,0,2,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,3,0,1
Myrtaceae,Eucalyptus,fasciculosa,pink gum,PSsp94,450,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,2,0,1
Myrtaceae,Eucalyptus,viminalis,manna gum,PSsp95,500,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,2,0,1
Myrtaceae,Eucalyptus,baxteri,brown stringybark,PSsp96,650,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,2,0,1
Myrtaceae,Eucalyptus,leptophylla,narrow leaf red mallee ,PSsp97,200,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,2,0,1
Myrtaceae,Eucalyptus ,phenax ssp. phenax,white mallee,PSsp98,300,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,2,0,1
Myrtaceae,Kunzea,pomifera,muntries,PSsp99,500,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,0,0
Myrtaceae,Leptospermum,myrsinoides,silky tea tree,PSsp100,450,1,1,1,1,2,2,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,4,0,0
Myrtaceae,Leptospermum,lanigerum,wooly tea tree,PSsp101,550,1,1,1,1,2,2,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,4,0,0
Myrtaceae,Leptospermum,coriaceum,green tea tree,PSsp102,350,1,1,1,1,2,2,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,4,0,0
Myrtaceae,Leptospermum,continentale,prickly tea tree,PSsp103,500,1,1,1,1,2,2,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,4,0,0
Myrtaceae,Melaleuca,halmaturorum,salt paper bark,PSsp104,350,1,1,1,1,2,2,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,2,1,4,0,1
Myrtaceae,Melaleuca,lanceolata,dryland tea tree,PSsp105,250,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,2,1,4,0,1
Myrtaceae,Melaleuca,decussata,cross leaved honey myrtle,PSsp106,450,1,1,1,1,2,2,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,2,1,4,0,1
Myrtaceae,Melaleuca,uncinata,broombush,PSsp107,350,1,1,1,1,2,2,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,2,1,4,0,1
Myrtaceae,Melaleuca,brevifolia,swamp honey myrtle,PSsp108,400,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,2,1,4,0,1
Pittosporaceae,Billardiera,cymosa ssp cymosa,sweet apple berry,PSsp109,500,1,0,0,1,0,2,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0
Pittosporaceae,Bursaria,spinosa ssp spinosa,christmas bush,PSsp110,350,1,1,1,1,2,2,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,4,1,0
Pittosporaceae,Cheiranthera,alternifolia,hand flower,PSsp111,350,1,0,0,1,0,2,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,0,0
Pittosporaceae,Pittosporum,angustifolium,native apricot,PSsp112,250,1,0,1,1,2,2,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,4,1,0
Polygalaceae,Comesperma,volubile,twining milkwort,PSsp113,250,1,0,0,1,2,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,3,0,0
Proteaceae,Banksia ,ornata,desert banksia,PSsp114,500,1,1,1,1,2,2,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,4,0,0
Proteaceae,Banksia ,marginata,silver banksia,PSsp115,450,1,1,1,1,2,2,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,4,1,0
Proteaceae,Grevillea,ilicifolia,holy grevillea,PSsp116,400,0,0,1,1,2,2,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,4,1,0
Proteaceae,Grevillea,lavandulacea,heath grevillea,PSsp117,450,0,0,0,1,2,2,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,4,1,0
Proteaceae,Hakea,rostrata,beaked hakea,PSsp118,400,1,0,1,1,2,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,3,1,0
Proteaceae,Hakea,rugosa,wrinkled hakea,PSsp119,450,1,0,1,1,2,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,3,1,0
Proteaceae,Hakea,carinata,erect hakea (rare),PSsp120,450,1,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,1,0
Proteaceae,Persoonia,juniperina,prickly geebung,PSsp121,450,0,0,0,1,2,2,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,0,0
Rhamnaceae,Spyridium,parvifolium,Dusty Miller,PSsp122,450,1,0,0,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0
Rutaceae,Philotheca,angustifolia,narrow leaf wax flower (rare) ,PSsp123,450,0,0,0,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0
Santalaceae,Santalum,acuminatum,quandong,PSsp124,300,0,0,1,0,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,4,0,0
Sapindaceae,Dodonaea,viscosa ssp angustisima,narrow leaved hop bush,PSsp125,300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,2,1,0
Solanaceae,Solanum,laciniatum,large kangaroo apple,PSsp126,500,1,0,1,1,0,2,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,2,0,0
Stackhousiaceae,Stackhousia,monogyna,creamy stackhousia,PSsp127,400,1,0,0,1,0,2,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0
Sterculariaceae,Thomasia,petalocalyx,paper flower,PSsp128,450,1,0,0,1,0,2,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0
Tremandraceae,Tetratheca,pilosa,pink eyed susan,PSsp129,550,0,0,0,1,0,2,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0
